"Iteration Number","Nodes","P-Value","Agree Ratio","Initial Payoff Matrix"
"1","1000","0.5","0.988","[2.0, 2.0, 200.0, 200.0]"
"2","1000","0.5","0.76","[2.0, 2.0, 200.0, 200.0]"
"3","1000","0.5","0.629","[2.0, 2.0, 200.0, 200.0]"
"4","1000","0.5","0.598","[2.0, 2.0, 200.0, 200.0]"
"5","1000","0.5","0.555","[2.0, 2.0, 200.0, 200.0]"
"6","1000","0.5","0.538","[2.0, 2.0, 200.0, 200.0]"
"7","1000","0.5","0.522","[2.0, 2.0, 200.0, 200.0]"
"8","1000","0.5","0.53","[2.0, 2.0, 200.0, 200.0]"
"9","1000","0.5","0.537","[2.0, 2.0, 200.0, 200.0]"
"10","1000","0.5","0.527","[2.0, 2.0, 200.0, 200.0]"
"11","1000","0.5","0.541","[2.0, 2.0, 200.0, 200.0]"
"12","1000","0.5","0.531","[2.0, 2.0, 200.0, 200.0]"
"13","1000","0.5","0.507","[2.0, 2.0, 200.0, 200.0]"
"14","1000","0.5","0.511","[2.0, 2.0, 200.0, 200.0]"
"15","1000","0.5","0.494","[2.0, 2.0, 200.0, 200.0]"
"16","1000","0.5","0.53","[2.0, 2.0, 200.0, 200.0]"
"17","1000","0.5","0.505","[2.0, 2.0, 200.0, 200.0]"
"18","1000","0.5","0.503","[2.0, 2.0, 200.0, 200.0]"
"19","1000","0.5","0.516","[2.0, 2.0, 200.0, 200.0]"
"20","1000","0.5","0.515","[2.0, 2.0, 200.0, 200.0]"
"21","1000","0.5","0.539","[2.0, 2.0, 200.0, 200.0]"
"22","1000","0.5","0.524","[2.0, 2.0, 200.0, 200.0]"
"23","1000","0.5","0.498","[2.0, 2.0, 200.0, 200.0]"
"24","1000","0.5","0.525","[2.0, 2.0, 200.0, 200.0]"
"25","1000","0.5","0.506","[2.0, 2.0, 200.0, 200.0]"
"26","1000","0.5","0.535","[2.0, 2.0, 200.0, 200.0]"
"27","1000","0.5","0.543","[2.0, 2.0, 200.0, 200.0]"
"28","1000","0.5","0.542","[2.0, 2.0, 200.0, 200.0]"
"29","1000","0.5","0.525","[2.0, 2.0, 200.0, 200.0]"
"30","1000","0.5","0.515","[2.0, 2.0, 200.0, 200.0]"
"31","1000","0.5","0.51","[2.0, 2.0, 200.0, 200.0]"
"32","1000","0.5","0.485","[2.0, 2.0, 200.0, 200.0]"
"33","1000","0.5","0.533","[2.0, 2.0, 200.0, 200.0]"
"34","1000","0.5","0.511","[2.0, 2.0, 200.0, 200.0]"
"35","1000","0.5","0.515","[2.0, 2.0, 200.0, 200.0]"
"36","1000","0.5","0.516","[2.0, 2.0, 200.0, 200.0]"
"37","1000","0.5","0.527","[2.0, 2.0, 200.0, 200.0]"
"38","1000","0.5","0.476","[2.0, 2.0, 200.0, 200.0]"
"39","1000","0.5","0.51","[2.0, 2.0, 200.0, 200.0]"
"40","1000","0.5","0.499","[2.0, 2.0, 200.0, 200.0]"
